RestaurantName,URL,Rewards,Rewards Signup,Gift Cards,Find Card,Online Order
Shaggy's,https://shaggys.biz,,,,,
7 Locks Brewing,http://www.7locksbrewing.com,,,,,
Afro Deli & Grill,http://www.afrodeli.com,,,,,
The Queensboro,http://www.thequeensboro.com,,,https://www.toasttab.com/the-queensboro/giftcards,,
Adda Lounge & Restaurant,http://www.addafood.com,,,,,
Plain Kate's Riverside Saloon and All Ways Inn,http://toasttab.com/plain-kates-riverside-saloon,,,,,https://www.toasttab.com/plain-kates-riverside-saloon/v2/online-order#!/
Deke's Bagels,http://www.dekesbagels.com/,,,,,"{""imageData"":{""type"":""Image"",""id"":""dataItem-il0rili3"",""metaData"":{""pageId"":""a4d4d"",""isPreset"":false,""schemaVersion"":""2.0"",""isHidden"":false},""title"":"""",""uri"":""6a6346_d1ad97f9636743ae8e65511c288ff225~mv2_d_5184_3456_s_4_2.jpg"",""description"":"""",""width"":5184,""height"":3456,""alt"":""dirt bomb desert"",""crop"":{""x"":1480,""y"":0,""width"":3424,""height"":3456},""link"":{""type"":""ExternalLink"",""id"":""dataItem-j87sm7q4"",""metaData"":{""pageId"":""a4d4d"",""isPreset"":false,""schemaVersion"":""1.0"",""isHidden"":false},""url"":""https://www.toasttab.com/dekes-bagels/v2/online-order#!/order"",""target"":""_blank""},""displayMode"":""fill""},""containerId"":""comp-il0rili2"",""displayMode"":""fill""}"
M Restaurant at the Morris House Hotel,http://www.mrestaurantphilly.com,,,,,
Duetto Pizza and Gelato,http://duettopizza.com,,,,,https://www.toasttab.com/duetto-pizza-and-gelato/v2/online-order#!/
Deacon's New South,http://www.deaconsnewsouth.com,,,,,
MOJO Old City BBQ,http://www.mojobbq.com/,,,,,"{""onclick"":{""action"":""redirect-to-url"",""popup_id"":0,""url"":""https:\/\/www.toasttab.com\/locations\/bceddeb2-74dd-4992-bb60-ebcd831861f8#!\/"",""target"":""_blank"",""cookie_name"":""""}}"
Rene's Torchy's Tacos,https://torchystacos.com,,,,,
Rice & Bones,https://www.riceandbones.com/,,,https://www.toasttab.com/rice-bones/giftcards,,https://www.toasttab.com/rice-bones/v2/online-order#!/order
Papa Kenos Pizzeria,http://www.papakenoswestport.com/ouer3vtu417cncaqu43h1a8ta7buq4,,,,,
Death by Taco,https://www.deathbytaco.net,,,,,
"""CORNER grill",http://www.thecornerferndale.com,,,,,"[{""event"":""click"",""action"":""simplelink"",""target"":""_self"",""url"":""https:\/\/www.toasttab.com\/corner-grill-bar-%2B-gameroom\/v2\/online-order#!\/"",""delay"":""""}]"
Brooklyn Pizza Market,http://www.brooklynpizzamarket.com,,,,,
Yard Bar,http://www.yardbar.com,,,,,
Ron's Gourmet Ice Cream,https://ronsicecream.com/,,https://www.toasttab.com/rons-gourmet-ice-cream-dedham/rewardsSignup,,,
Ignite Gaming - Chicago,http://www.ignitegaming.com,,,,,
Napa Prime,http://www.napaburgerbar.com,,,,,
Veggie Heaven,http://www.veggieheavenaustin.com,,,https://www.toasttab.com/veggie-heaven/giftcards,,
The Flying Egg,http://www.theflyingeggbethlehem.com,,,,,
Poquitos,http://www.vivapoquitos.com,,,,,
Quicksand,https://www.quicksand.la,,,,,
The Chow Bros.,http://www.thechowbrothers.com,,,,,
Madcap,http://www.madcapmarin.com,,,https://www.toasttab.com/madcap-san-anselmo/giftcards/checkout,,
Sparky's Roadside Barbecue,http://www.BBQ305.com,,,,,
Vinni's Pizza & Pasta,https://vinnispizza-pasta.com,,,,,https://www.toasttab.com/vinnispizza-pasta/v2/online-order#!/
Something Different Grill,http://www.eatbowls.com,,,,,
Crane Ramen,http://craneramen.com/,,,,,
Kind Bean,http://thekindbean.com,,,,,
FDKY Barbecue,http://www.fdkybbq.com,,,,https://www.toasttab.com/fdky-barbecue/findcard,https://www.toasttab.com/fdky-barbecue/v2/online-order#!/
The Fat Lamb,http://www.fatlamblouisville.com,,,,,
Sonora Restaurant,http://www.sonorarestaurant.net,,,,,
Drew King's Test Restaurant,http://www.drewkings.com,,,,,
Prequel,http://www.prequelrestaurant.com,,,,,
Chuck's BBQ,https://chucksbbq.com/,,,,,
Hop River Brewing Company,http://www.hopriverbrewing.com,,,,,
Swan Street Diner,http://www.swanstreetdiner.com/,,,https://www.toasttab.com/swan-street-diner/giftcards,,https://www.toasttab.com/swan-street-diner/v2/online-order#!/
